queryId,queryImagePath,querySource,expectedProductIds,relevantProductIds,expectedCategoryId,expectedColor,difficulty,note
auto_gallery_001,https://buggy.yodycdn.com/images/product/c8b77512eb238bb0e3b12df70955f587.webp,gallery_auto,fe13c39f2822ad039266b3d5,,63fba99937d4e37a82bfa20f,,easy,Auto label từ gallery: Áo Giữ Nhiệt Nữ Cổ 3cm Dáng Ôm (Áo giữ nhiệt)
auto_gallery_002,https://buggy.yodycdn.com/images/product/db507026abff2f05c6fa18afd608c9f8.webp,gallery_auto,e1416f27eac0557c580933b5,,4f127f56012e9b1e215f38fb,,easy,Auto label từ gallery: Áo Hai Dây Nữ Cổ Tròn Len Mềm Mại (Áo hai dây)
auto_gallery_003,https://buggy.yodycdn.com/images/product/5f859c44010de0a1376a0f9a549c0e7f.webp,gallery_auto,e9f86f8c63e8bc17b63394e8,,f108dfbbbfd1ca0f13e69624,,easy,Auto label từ gallery: Áo len nam bộ gia đình cổ tròn (Áo len)
auto_gallery_004,https://buggy.yodycdn.com/images/product/5d6bc08565f015a1bd9b77c585a4abd2.webp,gallery_auto,5592c2bf129a66e947360c6e,,05e167d1e970fcae15532bbc,,easy,Auto label từ gallery: Áo Len Nam Dệt Kẻ (Hoodie / Áo nỉ)
auto_gallery_005,https://buggy.yodycdn.com/images/product/085c53bfab79282aec8b0358e3006753.webp,gallery_auto,32736048dd640fb65fb85672,,94266f90e20f823fbcb239a7,,easy,Auto label từ gallery: Áo Len Nữ Form Rộng Họa Tiết Sọc Ngang (Áo len)
auto_gallery_006,https://buggy.yodycdn.com/images/product/e624ddb54aee027050462389433d42f4.webp,gallery_auto,cc2777b8a0ea1455841f3d51,,168770046e53a34e044f8eb0,,easy,Auto label từ gallery: Áo Phông Nữ Cotton USA In Girl (Áo thun)
auto_gallery_007,https://buggy.yodycdn.com/images/product/1d969606a8d4639169ffaa1ed1d3543a.webp,gallery_auto,84d44f8e5a90390663e497b3,,43664554fe2d2ee1bd5ee884,,easy,Auto label từ gallery: Áo Polo Nam Airycool Dáng Ôm Siêu Mát (Áo polo)
auto_gallery_008,https://buggy.yodycdn.com/images/product/b1b48bc8a3270207445013af1b520ae5.webp,gallery_auto,332652d8058ed6d111432680,,69b494f8475f3a2bdd735e6a,,easy,Auto label từ gallery: Áo Polo Nữ Airycool Dáng Ôm Siêu Mát (Áo polo)
auto_gallery_009,https://buggy.yodycdn.com/images/product/3db2fc3fb6a50e9290af0a77c4a5430e.webp,gallery_auto,9905aed6b4eecaaee1820d55,,8222cbe39e8a7c96152f7a6a,,easy,Auto label từ gallery: Áo Sơ Mi Nam Phối Túi (Áo sơ mi)
auto_gallery_010,https://buggy.yodycdn.com/images/product/cd30847f652aee04fb90db5a254ce80e.webp,gallery_auto,76fe4f7aa5634a3ae8c50aa5,,aa4a4d81f683b69913c3917a,,easy,Auto label từ gallery: Áo Sơ Mi Nữ Kiểu Croptop Cổ 2 Ve Chiết Eo (Áo sơ mi)
auto_gallery_011,https://buggy.yodycdn.com/images/product/9dac5749d11520b92e5b706abe46fb0c.webp,gallery_auto,d2cb577f0f884de0117b3668,,e425f1aff5a8452bb4fbaad5,,easy,Auto label từ gallery: Áo Thun Nam Thể Thao Thấm Hút Vượt Trội (Áo thun)
auto_gallery_012,https://buggy.yodycdn.com/images/product/17b6ab5ca1299ebefb262d8e7a99ab55.webp,gallery_auto,c1e1bec70a763a23626f8ef4,,84d9b69c98e6cf7b9ac4cff9,,easy,Auto label từ gallery: Bộ Đồ Nam Sportman (Bộ thể thao)
auto_gallery_013,https://buggy.yodycdn.com/images/product/f5c7776f9d28c0c935d89a0e3483871f.webp,gallery_auto,60b9b51ccbeb6fd062435f31,,a41e68b96cad3e7a1fed8845,,easy,Auto label từ gallery: Bộ đông nam in vạch kẻ (Đồ bộ)
auto_gallery_014,https://buggy.yodycdn.com/images/product/f5baebf3ae89fb880f31467cef7650c7.webp,gallery_auto,be06feea04eac8eb6fb1fdb4,,9b2b9a45d0daff73d56ae251,,easy,Auto label từ gallery: Bộ Quần Áo Thể Thao Nữ Thấm Hút Tốt (Bộ thể thao)
auto_gallery_015,https://buggy.yodycdn.com/images/product/07240832d70022e454db057279da14a7.webp,gallery_auto,f45af7b754ca9215eab57f8b,,353a6b754a244e9636d29f4e,,easy,Auto label từ gallery: Đồ Bộ Đùi Nữ Form Rộng Cổ V (Đồ bộ)
auto_gallery_016,https://buggy.yodycdn.com/images/product/3a371cd6fa764250aca2a3824699227d.webp,gallery_auto,7c3b641fffb394c64751a827,,586c61789a581be481dac069,,easy,Auto label từ gallery: Giày Lười Nam Đai Ngang Da Nappa (Giày lười)
auto_gallery_017,https://buggy.yodycdn.com/images/product/0ee6c5908a16f0532f1332c11bc95c3b.webp,gallery_auto,bb042986a136fd0e5d1f5719,,901c479b26ad38fd52a65b8a,,easy,Auto label từ gallery: Giày nam derby da bò nappa sang trọng (Giày / Dép khác)
auto_gallery_018,https://buggy.yodycdn.com/images/product/fbf89b0842954dc1ff106286776d0544.webp,gallery_auto,ecc96b7d12b9ee473fea88f5,,d474e86f5750a85895a4a64d,,easy,Auto label từ gallery: Giày Thể Thao Nam Phối Màu Năng Động (Giày thể thao)
auto_gallery_019,https://buggy.yodycdn.com/images/product/3b9e795547c6192356afc991ef2bd175.webp,gallery_auto,bc492e32ec672b0d1f935789,,12d215cd1e5ab12528c5ce7a,,easy,Auto label từ gallery: Quần Âu Nam Cạp Chun Tiện Lợi (Quần âu)
auto_gallery_020,https://buggy.yodycdn.com/images/product/e348704a43b048f4331410ffd54ba9c1.webp,gallery_auto,e38db686365335c332f36264,,cac1da5776adbdf5a8408fc1,,easy,Auto label từ gallery: Quần Âu Nữ Dáng Suông Thoải Mái (Quần âu)
auto_gallery_021,https://buggy.yodycdn.com/images/product/965f515ded31bc54c2c5df24fa905696.webp,gallery_auto,2f5fa044af449c0a22678290,,9b440a922f3625fa4ec34d21,,easy,Auto label từ gallery: Quần Baggy Nữ Lưng Cao Nano Gấu Lơ Vê (Quần baggy)
auto_gallery_022,https://buggy.yodycdn.com/images/product/0e93813c5d0f4adfaac661ad970c3752.webp,gallery_auto,76408a59f1605a5a4c5f9dd6,,dec148ef376307c4b74ef56d,,easy,Auto label từ gallery: Quần Jeans Nam Slim Fit Thêu Túi (Quần jeans)
auto_gallery_023,https://buggy.yodycdn.com/images/product/4cd8b5184e92a0cda525203986088357.webp,gallery_auto,625c119dad5281c2d5eb5dc6,,96ecfd55e596c45115748b54,,easy,Auto label từ gallery: Quần Kaki Nam Form Slim Cao Cấp (Quần kaki)
auto_gallery_024,https://buggy.yodycdn.com/images/product/256e2be5da7a9c1e6aca2d3f0c8de32a.webp,gallery_auto,34f5c75b2394beb83245f8c1,,bc486e516ad2e2d38334f0e9,,easy,Auto label từ gallery: Quần thể thao nam gió in sọc phản quang (Quần thể thao)
auto_gallery_025,https://buggy.yodycdn.com/images/product/778831db11eb7ca2f6049fe59d131378.webp,gallery_auto,30bdd588b0aa1f48f6e5cc7d,,63fba99937d4e37a82bfa20f,,easy,Auto label từ gallery: Áo Giữ Nhiệt Nữ Cổ Tròn (Áo giữ nhiệt)
auto_gallery_026,https://buggy.yodycdn.com/images/product/4d5f4c180524d8891118c2217286cb22.webp,gallery_auto,c0dae92879d2cd8592aae2c2,,4f127f56012e9b1e215f38fb,,easy,Auto label từ gallery: Áo Hai Dây Nữ Lưng Đan Chéo Trẻ Trung (Áo hai dây)
auto_gallery_027,https://buggy.yodycdn.com/images/product/2773888ce2aab77cfbc16713f2d4185b.webp,gallery_auto,8bc2541158e2e3bfa15fb279,,05e167d1e970fcae15532bbc,,easy,Auto label từ gallery: Áo thu đông nam kẻ in gấu (Hoodie / Áo nỉ)
auto_gallery_028,https://buggy.yodycdn.com/images/product/add65f83b68e862facf118f2a19185a7.webp,gallery_auto,6b72b7d33f9b8307c4a958eb,,94266f90e20f823fbcb239a7,,easy,Auto label từ gallery: Áo len nữ gia đình dáng ôm xẻ tay (Áo len)
auto_gallery_029,https://buggy.yodycdn.com/images/product/61e84c2323f87d66d4d22d05828bea83.webp,gallery_auto,1484171a0ca7ff7ff92f8916,,168770046e53a34e044f8eb0,,easy,Auto label từ gallery: Áo Phông Nữ Dáng Suông In Lưng Cá Tính (Áo thun)
auto_gallery_030,https://buggy.yodycdn.com/images/product/1742d81c7f96080885958c3ad1e862a2.webp,gallery_auto,5e78226ed0a83b275a6f2758,,43664554fe2d2ee1bd5ee884,,easy,Auto label từ gallery: Áo Polo nam basic gia đình (Áo polo)
auto_gallery_031,https://buggy.yodycdn.com/images/product/a9ea6cb76fa509273e81f41434892582.webp,gallery_auto,131567a730d3000059f1ad40,,69b494f8475f3a2bdd735e6a,,easy,Auto label từ gallery: Áo Polo Nữ Cafe Tổ Ong Cổ Phối 3 Màu (Áo polo)
auto_gallery_032,https://buggy.yodycdn.com/images/product/552eb3929c7eeaaed73b4ebb7af92a04.webp,gallery_auto,0400035ff551fd22c8553ce2,,8222cbe39e8a7c96152f7a6a,,easy,Auto label từ gallery: Áo Sơ Mi Nam Vải Nhung Thêu Gấu (Áo sơ mi)
auto_gallery_033,https://buggy.yodycdn.com/images/product/817e88cac2ad7e4daa787a33f8d03e71.webp,gallery_auto,70e60ecff89e27906a220007,,aa4a4d81f683b69913c3917a,,easy,Auto label từ gallery: Áo Sơ Mi Nữ Tay Dài Form Rộng Thoáng Mát (Áo sơ mi)
auto_gallery_034,https://buggy.yodycdn.com/images/product/6ab971478eada62f8d34deebdbf1016c.webp,gallery_auto,93afafa6bb59d52c9e2f5830,,84d9b69c98e6cf7b9ac4cff9,,easy,Auto label từ gallery: Bộ đồ thể thao nam áo Hoodie (Bộ thể thao)
auto_gallery_035,https://buggy.yodycdn.com/images/product/b1a80c98610c21e1d53b5a39eb5618e7.webp,gallery_auto,e1fe9750c86b5e745797c67c,,586c61789a581be481dac069,,easy,Auto label từ gallery: Giày Lười Nam Moccasin Da Mill Đai Khóa (Giày lười)
auto_gallery_036,https://buggy.yodycdn.com/images/product/ed3496f14c475f9ba5e472d0319f22ee.webp,gallery_auto,8e259df3bc1a520b6bdd93f9,,cac1da5776adbdf5a8408fc1,,easy,Auto label từ gallery: Quần Âu Nữ Lưng Cao Ống Côn 3 Cúc (Quần âu)
auto_gallery_037,https://buggy.yodycdn.com/images/product/98cfebbc77560e47ae903675c755cb40.webp,gallery_auto,39d480990e008c1644c53637,,05e167d1e970fcae15532bbc,,easy,Auto label từ gallery: Áo thun thu đông nam họa tiết kẻ ngang hiện đại (Hoodie / Áo nỉ)
auto_gallery_038,https://buggy.yodycdn.com/images/product/d3fdf95fd1e904568bfd493a6d452278.webp,gallery_auto,e4e8cf54a3b605a2f612804e,,43664554fe2d2ee1bd5ee884,,easy,Auto label từ gallery: Áo Polo Nam In Màu Thấm Hút Mồ Hôi Tốt (Áo polo)
