galleryImageId,productId,imagePath,imageSource,productName,categoryName,itemId,split,note
deepfashion:WOMEN_Blouses_Shirts_id_00000001_02_1_front,id_00000001,docs_vs/deepfashion-subset/images/WOMEN/Blouses_Shirts/id_00000001/02_1_front.jpg,deepfashion_gallery,id_00000001,WOMEN/Blouses_Shirts,id_00000001,gallery,img/WOMEN/Blouses_Shirts/id_00000001/02_1_front.jpg
deepfashion:WOMEN_Blouses_Shirts_id_00000001_02_3_back,id_00000001,docs_vs/deepfashion-subset/images/WOMEN/Blouses_Shirts/id_00000001/02_3_back.jpg,deepfashion_gallery,id_00000001,WOMEN/Blouses_Shirts,id_00000001,gallery,img/WOMEN/Blouses_Shirts/id_00000001/02_3_back.jpg
deepfashion:WOMEN_Tees_Tanks_id_00000007_01_1_front,id_00000007,docs_vs/deepfashion-subset/images/WOMEN/Tees_Tanks/id_00000007/01_1_front.jpg,deepfashion_gallery,id_00000007,WOMEN/Tees_Tanks,id_00000007,gallery,img/WOMEN/Tees_Tanks/id_00000007/01_1_front.jpg
deepfashion:WOMEN_Tees_Tanks_id_00000007_01_3_back,id_00000007,docs_vs/deepfashion-subset/images/WOMEN/Tees_Tanks/id_00000007/01_3_back.jpg,deepfashion_gallery,id_00000007,WOMEN/Tees_Tanks,id_00000007,gallery,img/WOMEN/Tees_Tanks/id_00000007/01_3_back.jpg
deepfashion:WOMEN_Dresses_id_00000008_02_3_back,id_00000008,docs_vs/deepfashion-subset/images/WOMEN/Dresses/id_00000008/02_3_back.jpg,deepfashion_gallery,id_00000008,WOMEN/Dresses,id_00000008,gallery,img/WOMEN/Dresses/id_00000008/02_3_back.jpg
deepfashion:WOMEN_Dresses_id_00000011_02_1_front,id_00000011,docs_vs/deepfashion-subset/images/WOMEN/Dresses/id_00000011/02_1_front.jpg,deepfashion_gallery,id_00000011,WOMEN/Dresses,id_00000011,gallery,img/WOMEN/Dresses/id_00000011/02_1_front.jpg
deepfashion:WOMEN_Blouses_Shirts_id_00000015_02_2_side,id_00000015,docs_vs/deepfashion-subset/images/WOMEN/Blouses_Shirts/id_00000015/02_2_side.jpg,deepfashion_gallery,id_00000015,WOMEN/Blouses_Shirts,id_00000015,gallery,img/WOMEN/Blouses_Shirts/id_00000015/02_2_side.jpg
deepfashion:WOMEN_Blouses_Shirts_id_00000015_02_4_full,id_00000015,docs_vs/deepfashion-subset/images/WOMEN/Blouses_Shirts/id_00000015/02_4_full.jpg,deepfashion_gallery,id_00000015,WOMEN/Blouses_Shirts,id_00000015,gallery,img/WOMEN/Blouses_Shirts/id_00000015/02_4_full.jpg
deepfashion:MEN_Sweaters_id_00000016_01_1_front,id_00000016,docs_vs/deepfashion-subset/images/MEN/Sweaters/id_00000016/01_1_front.jpg,deepfashion_gallery,id_00000016,MEN/Sweaters,id_00000016,gallery,img/MEN/Sweaters/id_00000016/01_1_front.jpg
deepfashion:MEN_Sweaters_id_00000016_01_3_back,id_00000016,docs_vs/deepfashion-subset/images/MEN/Sweaters/id_00000016/01_3_back.jpg,deepfashion_gallery,id_00000016,MEN/Sweaters,id_00000016,gallery,img/MEN/Sweaters/id_00000016/01_3_back.jpg
